EP01 IN
EP01：あすトろ…　|　外星…
EP04：私　宮坂さんの作る朝ご飯　宇宙でいちばん好きです　|　宫坂先生做的早餐 我宇宙第一喜欢
EP04：私　宮坂さんの作る朝ご飯　宇宙でいちばん好きです　|　宫坂先生做的早餐 我宇宙第一喜欢
EP04：私　宮坂さんの作る朝ご飯　宇宙でいちばん好きです　|　宫坂先生做的早餐 我宇宙第一喜欢
EP04：私　宮坂さん　宇宙でいちばん好きです　|　宫坂先生 我宇宙第一喜欢
EP04：あら　ヤダ　ご機嫌じゃない　|　哎呀 你心情很不错嘛
EP04：何かいいことあった　宝くじにでも当たった　|　有什么好事吗 难不成是中彩票了吗
EP04：いえ　|　不是
EP04：宝くじっていえば　４丁目の山田さん　|　说起彩票就不得不提四丁目的山田先生
EP04：去年の年末ジャンボ　100万円当たったこと　|　去年的年终大彩票 他中了100万日元
EP04：奥さんに内緒にしてて　離婚にしちゃって　|　一直瞒着老婆 结果闹得要离婚了
EP04：しまった　ばばあのどうでもいい話に捕まってしまった　|　糟了 被讲闲话的大妈逮住了
EP04：大変よねえ　|　真不容易
EP04：なに　ネギ買ったの　|　咦 你买了葱吗
EP04：ネギっていえばね…　|　提到葱啊…
EP04：そうなんですか　|　是吗
EP04：なんだか雨が降りそうですね　|　怎么感觉要下雨了
EP04：洗濯物干してきたんだった　早く帰らないと　|　我还有衣服晾着 得早点回去
EP04：そういえば　ミラちゃん　フィアンセがいるんだって　|　说起来 听说小米拉有未婚夫了
EP04：あの人はフィアンセじゃなくて　ただの幼なじみらしいですよ　|　那不是她的未婚夫 只是青梅竹马而已
EP04：そんなわけないじゃない　|　怎么可能嘛
EP04：私見ちゃったんだから　|　我可是看到了
EP04：２人が入っていくとこ　|　他俩去了那种地方
EP04：どこに　|　哪种地方
EP04：ラ・ブ・ホ　|　情侣酒店
EP04：ほら　町外れに最近できたとこ　|　就是城外最近新开那家
EP04：しかも　１度や２度じゃないの　|　而且还不是一次两次哦
EP04：先週なんてほぼ毎日　ちょうどこのくらいの時間よ　|　上周几乎天天去 正好就是现在这会
EP04：昼間からラブホよ　ラ・ブ・ホ　|　还大白天的哦 就去情侣酒店
EP04：まあ　若いからしょうがないか　|　毕竟是年轻人嘛
EP04：ラブホでランデブーなんつって　|　情侣酒店的秘密幽会啊
EP04：何やってんだ　|　我在干嘛啊
EP04：#恐怖的真实事件系列 灵异现象
EP04：#战栗！日本的奇异体验专集
EP04：#被扔在垃圾场的人偶头发变长…
EP04：#前往传闻现场调查
EP04：#外星庄
EP04：#今日菜单 汤咖喱
EP04：#今日菜单 汤咖喱
EP04：#早餐是生命之源
EP04：#注：传说天照大神曾躲进天岩户，后被众神的歌舞宴会引出
EP04：#酒店月刊 严选海外一流酒店！超人气推荐酒店 介绍世界美食
EP04：#冠军得主是最年轻的宫坂拓己！
EP04：#第35届厨师竞赛结果发表!!冠军得主是最年轻的宫坂拓己！
EP04：#太空少女2
EP04：#太空少女2
EP04：#今日菜单 腌制鲅鱼 凉拌菠菜
EP04：#请热一下再吃 宫坂
EP04：#幽灵的真面目是七号房客 上町葵
EP04：#难道，葵喜欢拓己？
EP04：#另一边 拓己因情侣酒店事件备受打击
EP04：#不知为何他开始晒干大量鱿鱼…
EP04 OUT

EP05 IN
EP05：今度の塾の模試で　90点以上だったら　|　这次补习班的模考拿到90分
EP05：ゲームの課金していいって　ママと約束したんだ　|　妈妈就同意我给游戏充钱
EP05：やっぱり　ホントに欲しいアイテムは課金しないと　手に入らないんだよね　|　果然真正想要的道具不充钱就拿不到啊
EP05：おはよう　|　早上好
EP05：おはよう　|　早上好
EP05：おはよう　|　早上好
EP05：おはよう　|　早上好
EP05：今日もかわいいね　その服　|　今天的衣服也很可爱呢
EP05：本当だ　|　真的
EP05：そんなことないって　|　哪有
EP05：おっは　|　早上好
EP05：おはようございます　|　早上好
EP05：おはようさん　|　早安
EP05：いただきます　|　我开动了
EP05：ほれ　味がしないだろう　|　加点 东西没味道吧
EP05：だよね　私の味覚がヤバイのかと思っちゃった　|　确实 我还以为是我的味觉出问题了
EP05：ビビった　|　吓死我了
EP05：これ　宮坂さんが作ったんですか　|　这是宫坂先生做的吗
EP05：もちろん　|　当然了
EP05：どうしちゃったんだろう　|　怎么会这样呢
EP05：まあ　どうかしてるんだろうな　|　应该遇到什么事了吧
EP05：何してるの　|　你在干什么啊
EP05：近所の人にいただいたので　イカを干してるんです　|　在把邻居送来的鱿鱼晒干
EP05：今晩　イカす　イカ　|　今晚吃鱿鱼
EP05：いかが　|　怎么样
EP05：お前はイカか　|　你是鱿鱼吗
EP05：いかにも　|　鱿鱼是也
EP05：イカれてる　|　他疯了
EP05：何か　相当ショックなことがあったのかもしれないなあ　|　应该是受到了什么不小的打击吧
EP05：この子　イカすでしょう　|　这姑娘 不错吧
EP05：これ　松原さん？　|　这是 松原小姐？
EP05：私じゃなくて　|　不是指我
EP05：こっち　|　是她
EP05：派遣先で　同じ部署にいる子なんだけど　３か月前に彼氏と別れちゃって　|　她是我派遣公司的同事 三个月前和男友分手了
EP05：今　絶賛恋人募集中　|　现在正好在找对象
EP05：趣味は食べ歩き　好きなタイプは普通の人　|　兴趣是寻访美食 喜欢普通类型的人
EP05：ショートカット　嫌い？　|　你不喜欢短发？
EP05：大好きです　|　我超喜欢的
EP05：OK　|　OK
EP05：じゃ　飲み会　セッティングしてあげる　|　那我帮你约场酒会
EP05：宮坂くんのおごりね　|　你请客哦
EP05：いつが暇　|　什么时候有空
EP05：無職だから　ずっと暇か　|　你没工作 应该一直都很闲吧
EP05：今　そういう気分じゃないんで　|　我现在没那想法
EP05：そういう気分って　|　什么想法
EP05：恋愛とか　そういうの　ちょっと…　|　我对恋爱那方面没什么想法…
EP05：「恋愛とか　そういうの　ちょっと…」　|　「我对恋爱那方面没什么想法…」
EP05：なに格好つけてんの　|　你在耍什么帅啊
EP05：別に格好つけてないですよ　|　我才没有在耍帅
EP05：宮坂くん　精神状態が料理に出ちゃうから　|　宫坂的精神状态会在料理中体现出来
EP05：かなわぬ恋で　メンタルおかしくなってると　こっちが困るわけ　|　你爱而不得精神崩溃了 困扰的可是我们
EP05：かなわぬ恋って　|　谁爱而不得了
EP05：そりゃミラちゃんに　あんなハイスペックなフィアンセがいたんじゃね　|　毕竟小米拉已经有那么优秀的未婚夫了
EP05：ショーインさんはフィアンセじゃありません　|　松阴先生不是她的未婚夫
EP05：ただの友達だって　ミラさん言ってましたから　|　米拉小姐说过他们只是朋友而已
EP05：宮坂くんは　|　那你怎么想
EP05：本当にそう思ってる　|　你真觉得是那样吗
EP05：ただの友達だって　|　只是普通的朋友
EP05：ショートカット　大好きなんでしょう　|　你不是最喜欢短发女生吗
EP05：この子　すごくいい子だから　|　这女孩可好了
EP05：松原さん　何をたくらんでるんですか　|　松原小姐 你到底有什么企图
EP05：さては　|　难道说
EP05：その子にデートと称して　意識高い系の人たちが集まるパーティーに連れていかれて　|　说是约会 实际上是参加自命不凡者的派对
EP05：気づくと　金と時間とエネルギーを吸い取られてるやつだ　|　趁我还没回过神就榨干我的金钱时间和精力
EP05：はい　|　什么
EP05：あっぶない　|　好险
EP05：危うくネットワークのビジネスにのみ込まれるところだった　|　差点就上你传销话术的当了
EP05：いかんともいかがわしいですな　|　真不老实啊
EP05：ゲソ　ゲソ　|　默默溜走
EP05：マジで大丈夫かな　|　他真的没事吗
EP05：宮坂さん　|　宫坂先生
EP05：大丈夫ですか　|　你没事吧
EP05：今日の朝ご飯　宮坂さんが作ったものじゃないみたいだったから　|　今天的早餐不像是宫坂先生平常做的
EP05：その　どこか具合が悪いのかなって　|　所以 我想是不是你哪里不舒服
EP05：いえ　どこも悪くないです　|　没有 我很好
EP05：そうですか　|　这样吗
EP05：今日の朝ご飯　そんなにまずかったですか　|　今天的早餐 有那么难吃吗
EP05：いや　|　没有
EP05：料理人失格ですね　|　我真是个不称职的厨师
EP05：私　宮坂さんの作る朝ご飯　宇宙でいちばん好きです　|　宫坂先生做的早餐 我宇宙第一喜欢
EP05：私　宮坂さんの作る朝ご飯　宇宙でいちばん好きです　|　宫坂先生做的早餐 我宇宙第一喜欢
EP05：私　宮坂さんが作る朝ご飯が　宇宙でいちばん好きなだけであって　|　虽然宫坂先生做的早餐 我宇宙第一喜欢
EP05：宮坂さんのことは嫌いです　|　但是我讨厌宫坂先生
EP05：ダメだ　ダメだ　ダメだ　|　不行 不行 不行
EP05：無になって　食材に集中　|　我要放空心思 专注于食材
EP05：初心に戻って　仕込みから始めよう　|　回归初心 从处理食材开始吧
EP05：このままだと　腕が落ちる　|　这样下去 水平会下降的
EP05：真剣に料理と向き合わないと　ダメだぞ　俺　|　不专心去做料理的话可不行啊
EP05：早く仕事を見つけないと　|　得快点找到工作
EP05：就職したら　ここは出ていったほうがいいのかな　|　找到工作之后 还是搬走比较好吗
EP05：ミラさんは　俺が作った朝ご飯が好きなだけなんだし　|　反正米拉小姐只是喜欢我做的早餐而已
EP05：何やってんだ　俺　|　我在干什么啊
EP05：ミラさん　|　米拉小姐
EP05：宮坂さん　どうしちゃったんだろうな　|　宫坂先生怎么了呢
EP05：宮坂さんって　この間　江の島に行った料理人か　|　宫坂先生是上次去江之岛的厨师吗
EP05：宮坂さんの作る朝ご飯　ホントにおいしいの　|　宫坂先生做的早餐真的很美味
EP05：納豆に味噌汁　焼き魚　卵焼き　豆ご飯　|　纳豆 味噌汤 烤鱼 玉子烧 豌豆饭
EP05：卵とホウレンソウのサンドイッチ　|　鸡蛋菠菜三明治
EP05：サーモンとクリームチーズのベーグルサンド　|　三文鱼奶油芝士贝果三明治
EP05：あと　忘れちゃいけないサバの味噌煮　|　还有不得不提的味噌煮青花鱼
EP05：おいしいんだよな　|　真是美味啊
EP05：ショーイン　食べたことある　サバの味噌煮　|　松阴你吃过吗 味噌煮青花鱼
EP05：ついてる　|　沾到脸上了
EP05：食べたことないな　|　没吃过呢
EP05：じゃ　今度朝ご飯　食べにおいでよ　|　那下次来吃早餐吧
EP05：宮坂さんに頼んでみるから　|　我会拜托宫坂先生的
EP05：ミラ　変わったね　|　米拉 你变了啊
EP05：ミボー星にいるときより　なんだかとても楽しそう　|　感觉你比在米博星的时候开心多了
EP05：そうかな　|　是吗
EP05：早く鍵を捜して　ミボー星に帰らないと　|　得赶紧找到钥匙返回米博星
EP05：みんながミラの帰還を待ち望んでいるんだから　|　大家都期待你回去
EP05：分かってる　|　我知道
EP05：ミラは　|　你呢
EP05：ミラは望んでる　ミボー星に帰ることを　|　你想回米博星吗
EP05：もちろん　早く帰りたいに決まってるでしょう　|　当然 我也想早点回去
EP05：宮坂拓己をミラに近づけないようにしないと　|　得让宫坂拓己离米拉远点
EP05：彼のことが好きなんですか　|　你喜欢他吗
EP05：宮坂くん　ショートカットの子が大好きだって言っていました　|　宫坂君说过 他很喜欢短发女生
EP05：あの子と宮坂拓己がくっついてくれればと思ったのだが　|　倒是希望她能和宫坂在一起
EP05：まあ　そんなうまくいくはずないか　|　想也不可能这么顺利
EP05：ただいま　|　我回来了
EP05：おかえり　|　欢迎回来
EP05：ギョーザ買ってきたぞ　|　我买了饺子
EP05：どこ行くんだ　|　你要去哪里
EP05：ちょっと　|　出去一下
EP05：お前が犬じゃないってこと　分かってるんだからな　|　我可知道你不是狗
EP05：本当に欲しいもの　課金すると手に入るのかな　|　真正想要的东西 钱能买到吗
EP05：うまそうだなあ　|　看着挺不错嘛
EP05：それにしても　このポテトサラダすごいね　|　话说回来这个土豆沙拉真是不得了
EP05：ジャガイモの皮をむきすぎてしまいまして　|　土豆不小心削多了
EP05：山下さん　１杯どうですか　|　山下先生 来喝一杯吗
EP05：いいですね　|　好啊
EP05：若林さん　一緒に飲みます　|　若林先生 一起喝酒吗
EP05：宮坂くんが作ったイカの一夜干しがあるよ　|　宫坂先生做了鱿鱼干哦
EP05：自家製イカの塩辛入りポテサラもあります　|　还有放了自制盐渍鱿鱼的土豆沙拉
EP05：どうかしたんですか　|　发生了什么吗
EP05：男の子が隠し持ってる雑誌って　何だと思います　|　小男孩藏着掖着的杂志会是什么
EP05：エロ本　|　小黄书
EP05：やっぱりそう思います？　|　你们也这么觉得？
EP05：もしかして　蓮くんが　|　难道是莲君
EP05：今どきエロ本なんて見ないですよ　|　现在的小孩子不会看小黄书的
EP05：声が大きい　|　声音太大了
EP05：こういうことはセンシティブなことなんだから　|　这是很敏感的事
EP05：いやいや　絶対にエロ本じゃないですよ　|　不可能 绝对不是小黄书
EP05：見ようと思えば　ありとあらゆるエロいものがネットで見れるこの時代に　|　现在这个时代 色情内容网上一搜一大把
EP05：エロ本なんて見てられませんよ　|　怎么可能看小黄书
EP05：何はともあれ　そういうものに興味を持つ年ごろになったんじゃないのかな　|　不管怎样 是到了对这些事感兴趣的年纪了吧
EP05：そういえば蓮くん　この間江の島で…　|　说起来 之前莲君在江之岛…
EP05：江の島で　何ですか　|　在江之岛怎么了
EP05：いや　別に　|　没什么
EP05：ちょっと　ちょっと　|　你怎么回事
EP05：言いかけてやめるのなしですよ　|　哪有说话说一半的
EP05：何ですか　|　发生了什么
EP05：いや　その…　|　这个…
EP05：蓮くん　同じクラスの女の子のこと　ずっと見てて　|　莲君一直看着同班的女孩子
EP05：かわいい子だな　好きなのか　|　真可爱 你喜欢她吗
EP05：そんなんじゃないよ　|　才不是
EP05：初恋なんじゃないかなって思ったんですよね　|　还以为是他初恋来着
EP05：それこそセンシティブだから　若林さん　茶化しちゃダメですよ　|　这才是敏感的事 别当成玩笑话哦
EP05：既につきあってたりして　|　说不定已经在交往了
EP05：まさか　|　怎么会
EP05：今の子は早熟だからねえ　|　现在的孩子早熟得很
EP05：性教育　|　性教育
EP05：父ちゃん　|　爸爸
EP05：何だ　蓮　どうした　|　莲啊 怎么了
EP05：お風呂　入るよ　|　我去洗澡了
EP05：入れ入れ　|　去吧去吧
EP05：あんまり飲み過ぎんなよ　|　别喝太多了
EP05：若林さん？　|　若林先生？
EP05：どうしたんですか　|　你在做什么
EP05：勝手に見ちゃうんですか　|　你要偷看吗
EP05：じゃ　見て　|　那你看
EP05：イヤですよ　僕　他人だし　|　不要 我是外人
EP05：他人だからいいでしょうが　|　就因为你是外人才没关系
EP05：イヤですよ　|　不要
EP05：じゃ　正吉さん　|　那正吉先生看
EP05：蓮に嫌われたくない　|　我不想被莲讨厌
EP05：ナナミー　|　是七海
EP05：誰　|　那是谁
EP05：知らないんですか　元アイドルで女優の七瀬はるみですよ　|　你不认识吗 转型成演员的前偶像七濑晴海
EP05：蓮　ナナミーが好きなんだ　|　莲原来喜欢七海啊
EP05：年上がタイプなのかな　|　喜欢比自己年长的类型啊
EP05：宮坂くんが　エロ本とか性教育とか不純異性交遊とか言いだすから　|　都怪你说什么小黄书 性教育 不纯洁交往
EP05：いえ　言ってないですよ　|　我也没那么说吧
EP05：そうか　そうか　ナナミーが好きなのか　|　是这样啊 原来他喜欢七海啊
EP05：これ　なんで丸をつけてるんだろう　|　为什么圈了条裙子
EP05：どうしたの　|　怎么了
EP05：イカ　|　鱿鱼
EP05：イカ？　|　鱿鱼？
EP05：どうした　どうした　|　怎么了 发生什么了
EP05：イカだってば　イカ　|　说了是鱿鱼了
EP05：父ちゃん　イカがドンって来て　バンってなって　|　爸爸 鱿鱼噌的出来 又唰的飞走了
EP05：落ち着け　落ち着け　|　冷静点 冷静点
EP05：イカ　|　鱿鱼
EP05：宮坂くん　イカの監督不行き届きだよ　|　宫坂君 你对鱿鱼看管不力呢
EP05：おかしいな　全部さばいたはずなんだけどな　|　奇怪 应该都处理好了啊
EP05：まあ　これにて一件落着　|　总之 这事算是告一段落
EP05：まだ何も落着してないから　|　这事还不算完
EP05：大変申し訳ありません　|　真的十分抱歉
EP05：下着を盗むのは犯罪だよ　|　偷人内衣可是违法的
EP05：違う　|　我没有
EP05：違くない　|　你有
EP05：下着なんか　|　我没有偷你内衣
EP05：すみません　蓮　ナナミーが好きらしくて　|　对不起 其实莲喜欢七海
EP05：ナナミー？　|　七海？
EP05：ナナミーに似ている　アイドルの松原ちゃんに興味を持ってしまったんじゃないかと　|　他或许是对长得像七海又同为偶像的你抱有好感
EP05：違うってば　|　才不是
EP05：確かに　ナナミーと松原さんが似てるっていうのは　ムリありすぎるでしょう　|　的确 要说松原小姐和七海长得像也太勉强了
EP05：何だ　蓮　ナナミーが好きなんじゃないのか　|　怎么了 莲 你不喜欢七海吗
EP05：いや　誰を好きだろうと　下着泥棒は犯罪だから　|　不管他喜欢谁都好 偷人内衣就是违法的
EP05：大変申し訳ございません　|　真的十分抱歉
EP05：僕は下着泥棒なんかじゃない　|　我才不是要偷你内衣
EP05：僕は…　|　我…
EP05：僕は　スカートがはいてみたかっただけなんだ　|　我只是想要穿一下裙子
EP05：スカート？　|　裙子？
EP05：自分でも　なんでだか分からないけど　|　我自己都不知道为什么
EP05：ずっと　きれいな色のスカートをはいてみたいんだ　|　就是想要穿颜色漂亮的裙子
EP05：だからって　人のものを勝手に取るのはいけないことだよ　|　就算这样 也不能随便拿别人的东西
EP05：ごめんなさい　|　对不起
EP05：言ってくれれば　いくらでもはかせてあげるんだから　|　好好和我说的话 多少都借你穿
EP05：いいの　|　真的吗
EP05：もちろん　|　当然
EP05：ダメに決まってんだろう　|　绝对不行
EP05：なんでだよ　|　凭什么啊
EP05：スカートをはいてるのを　クラスメートとか近所の子に見られたらどうする　|　同学或邻居的孩子看到你穿裙子了该怎么办
EP05：いじめられるかもしれないぞ　|　你会被人欺负的
EP05：どうして　|　为什么
EP05：人と違うからだ　|　因为与众不同
EP05：父ちゃんだって無職じゃん　よそのお父さんと全然違う　|　爸爸不是无业游民吗 和别人的爸爸不也不同吗
EP05：そうだ　|　正因如此
EP05：だから無職の父さんは社会から冷たい目で見られて　虫けら扱いだ　|　所以我才会被社会冷眼相看 像看垃圾一样
EP05：残念だけど　この世の中はほかの人と違うってだけで　|　很遗憾 这世间对待与众不同者就是这样
EP05：たたかれて　笑われて　責められる　|　你会被欺负 被嘲笑 被责难
EP05：何にも悪いことをしてなくても　意地悪が近づいてくることもあるんだ　|　就算你什么都没做错 周围也会对你充满恶意
EP05：蓮を　そんな目に遭わせるわけにはいかない　|　我不能让莲也遭受那种境遇
EP05：母さんと約束したんだよ　お前を幸せにするって　|　我答应妈妈 要让你幸福
EP05：ちゃんと育てるって約束したんだ　|　让你健康快乐地成长
EP05：だったら働けよ　この無職が　|　那就去工作啊 你这个无业游民
EP05：母ちゃん出せば　言うこと聞くと思うなよ　|　你以为把妈妈搬出来我就会听你的话吗
EP05：スカートはくと　なんでちゃんと育ってないことになるんだよ　|　为什么我穿了裙子就不能健康成长了
EP05：スコットランドでバグパイプ吹いてるおっさんが　スカートはいてること知ってんだぞ　|　苏格兰吹风笛的大叔们不也都穿裙子吗
EP05：反抗期が来るのは早すぎだろう　|　叛逆期来的太早了吧
EP05：ダメなものはダメ　親の言うことを聞きなさい　|　不行就是不行 给我乖乖听话
EP05：ヤダ　|　我不要
EP05：ヤダヤダ　ヤダヤダ　|　我不要我不要
EP05：ダメったらダメ　|　不行就是不行
EP05：ヤダったらヤダ　|　不要就是不要
EP05：ダメ　|　不行
EP05：ヤダ　|　不要
EP05：ダメダメのダメ　|　绝对不行
EP05：分からず屋　|　死心眼
EP05：はい　|　停一下
EP05：大丈夫ですか　|　你没事吧
EP05：蓮くんは　家の中だけスカートをはくっていうのは　どうですか　|　让莲只在家里穿裙子怎么样呢
EP05：家の中だけ？　|　只在家里穿？
EP05：そう　|　对
EP05：私もね　みんなの目を気にして　きちんとした格好で　|　我也曾忙着察言观色 一丝不苟地生活
EP05：正しいとされることを選択して生きてきて　|　按部就班地做着所谓正确的事
EP05：それが　ずっと普通だと思っていたけど　|　认为这一切稀松平常
EP05：このあすトろ荘に来て　|　直到来到外星庄
EP05：自分の好きなことをしている時間が　すごく気持ちが楽で　幸せだなって思えるんです　|　做着自己喜欢的事 才真正体会到快乐幸福
EP05：だから　このあすトろ荘の中は　|　所以我希望在这外星庄里
EP05：ここに住んでる人たちは　自分の好きな格好で　好きなことをして　|　住户都能展现自己真实的一面 做自己喜欢的事
EP05：気持ちを楽にしていい場所にしたいんです　|　无拘无束地生活
EP05：ダメですか　|　可以吗
EP05：大家さんがそう言うなら　しかたないですね　|　房东都这么说了 那也没办法了
EP05：いいの？　|　你同意了？
EP05：あすトろ荘の中だけだぞ　|　只能在外星庄里穿
EP05：やったー　|　太好了
EP05：いいじゃん　すごい似合ってる　|　挺好的啊 超级适合你
EP05：おいしい　|　真好吃
EP05：作戦開始しろ　|　作战开始
EP05：宮坂さん　|　宫坂先生
EP05：葵ちゃん？　|　小葵？
EP05：髪切ったんだ　なんだか別人に見えちゃった　|　你剪头发了啊 感觉像是换了个人
EP05：変ですか　|　奇怪吗
EP05：いや　すごくいいと思う　|　不会啊 我觉得很好
EP05：何かいいことないかしら　|　今天会有什么好事吗
EP05：ヤバイ　|　糟了
EP05：行こう　|　走吧
EP05：あのおばさん　話が長いんだ　|　那个大妈 超级能说
EP05：遭遇したら最後エンドレスどうでもいい話を聞かされるからさ　|　被抓住的话 就得一直听那些没营养的话
EP05：宮坂さん　|　宫坂先生
EP05：ここで何してるの　|　你来这边做什么
EP05：いや　別に　僕たちはラブホに来たわけじゃなくて　|　没有 我们不是来情侣酒店的
EP05：偶然　こうなってしまったわけでして　|　只是碰巧路过这边
EP05：ラブホ？　|　情侣酒店？
EP05：ここ　ラブホでしょう　|　这里是情侣酒店吧
EP05：ここは僕の家だけど　|　这里是我家
EP05：ラブホって　|　情侣酒店是什么
EP05：宮坂さん　ラブホって何ですか　|　宫坂先生 情侣酒店是什么啊
EP05：え…えっと　|　这…这个
EP05：失礼だな　人の家をそんなものにだなんて　|　太冒犯了吧 把别人的家当成那种地方
EP05：いやいや　すみません　とんだ勘違いしてしまって　|　对不起 这真是天大的误会
EP05：ホントバカだな　俺　|　我真是个大笨蛋
EP05：勝手に勘違いして　落ち込んで　|　一个人又是误会 又是失落
EP05：ミラさんはラブホに行ってたんじゃないんだ　|　米拉小姐并没有去情侣酒店啊
EP05：そうだ　今度　朝ご飯食べに行ってもいいかな　|　对了 下次我能去你们那边吃早餐吗
EP05：ミラがね　あすトろ荘の朝ご飯はとてもおいしいから　|　米拉她呀 总是说外星庄的早餐特别好吃
EP05：一度食べてみてほしいって言うんだ　|　希望我有机会也去尝尝
EP05：いいかな　|　可以吗
EP05：ええ　もちろん　|　当然可以
EP05：楽しみだな　|　好期待啊
EP05：でも　ずっと２人っきりで　部屋にいたんだよな　|　但是 他们俩一直单独待在房间里吧
EP05：２人っきりで　|　两人独处
EP05：それってラブホと同じじゃ　|　这跟情侣酒店也没差啊
EP05：葵ちゃん　随分イメージが変わってたから　気づかなかった　|　小葵 你的形象变化太大 我都没认出来
EP05：その髪形　とても似合っててかわいい　|　这个发型很适合你 很可爱
EP05：ありがとうございます　|　谢谢你
EP05：宮坂さん　葵ちゃんと手をつないでた　|　宫坂先生跟小葵手牵着手
EP05：ミラさん　こいつと何してたんだ　|　米拉小姐跟这家伙做什么了呢
EP05：宮坂さん　葵ちゃんと何をしてたんだろう　|　宫坂先生跟小葵做什么了呢
EP05：塾の模試　81点だったから　課金してもらえなかったんだ　|　补习班的模考我只考了81分 妈妈不让我充钱了
EP05：ちょっとくらい　いいのにさ　|　稍微充点又没什么
EP05：僕　課金してないけど　最強のアイテムを手に入れちゃった　|　我虽然没充钱 但还是得到了最强道具
EP05：遅刻するぞ　|　要迟到了
EP05：この間のイカみたいなヤツは　地球の生き物ではない　|　之前那个长得像鱿鱼的东西 并不是地球上的生物
EP05：だとすると　ゴシュ星が送り込んできたに違いないんだ　|　如此一来 肯定是戈休星派过来的
EP05：我々としては…　|　至于我们…
EP05：ミラ　|　米拉
EP05：どうしたんだ　|　你怎么了
EP05：このところ　様子がおかしいぞ　|　你最近看起来怪怪的
EP05：人の話を全く聞いてないし　|　一点不听人说话
EP05：そんなことないよ　|　没有啊
EP05：ミラちゃん　ちょっといいかな　|　小米拉 你有空吗
EP05：はい　|　来了
EP05：前に　太助さんの若いころの写真があったら見たいって言ってたろう　|　你之前不是说想看太助先生年轻时的照片吗
EP05：あったんですか　|　真的有吗
EP05：多分　これがいちばん古いと思うな　|　这个应该是最早的照片
EP05：この写真　少しお借りしてもいいですか　|　这张照片能先借我吗
EP05：どうぞ　どうぞ　|　你拿去吧
EP05：ウソだろう　|　不会吧
EP05：これって　お母さん？　|　这是 妈妈？
EP05：手紙が届きました　|　您有新信息
EP05：惑星ミボー　アダラからです　|　寄件人 米博星的阿达拉
EP05：ミラさん　宮坂です　|　米拉小姐 是我 宫坂
EP05：突然　すみません　|　抱歉突然过来
EP05：転送を許可しますか　|　是否进行传输
EP05：ちょっといいですか　|　能打扰一下吗
EP05：はい？　|　好？
EP05：了解しました　転送を開始します　|　收到 数据传输开始
EP05：10秒前　|　还剩10秒
EP05：ヤダ　|　糟了
EP05：すみません　|　对不起
EP05：あの　どうしても俺　ミラさんに聞きたいことがあって　|　有件事情 我必须找米拉小姐问个清楚
EP05：ずっとモヤモヤしてるんです　|　这事让我一直很烦躁
EP05：あれ　なんか　ほかの部屋…　|　咦 这个房间怎么…
EP05：聞きたいことって　|　你想问什么
EP05：ミラさんは未亡人なんですか　|　米拉小姐 你是寡妇{米博人}吗
EP05：宮坂拓己　この部屋から出ろ　|　宫坂拓己 快离开这个房间
EP05：転送完了　|　传输完毕
EP05：#外星庄
EP05：#今日菜单 蛋包饭 汤
EP05：#专业餐饮业求职信息网 美食阿宅 【开业招聘】没有猫的猫咖！欢迎无工作经验者！
EP05：#外星庄
EP05：#饺子飞车
EP05：#早餐是生命之源
EP05：#今日菜单 土豆沙拉 鱿鱼干
EP05：#洗澡中！不要偷窥～
EP05：#七濑晴海 时下流行的神级化妆品大赏 成为“崭新自己”所需的一切！
EP05：#时髦值提升
EP05：#送来超华丽影像信息的
EP05：#竟然是米博星女王 阿达拉·戈特克吉
EP05：#之后，讲述了太助与阿达拉的相遇
EP05：#故事的真相终将揭晓!?
EP05 OUT

EP06 IN
EP06：転送完了　|　传输完毕
EP06：これ　何ですか　|　这是什么
EP06：母です　|　是我母亲
EP06：お母さん？　|　你母亲？
EP06：からのビデオレター　|　传来的影像
EP06：親愛なるミラ　|　亲爱的米拉
EP06：私にはあなたに言っていなかった秘密があります　|　我有个秘密没跟你说
EP06：私はあなたよりも少し若いころ　|　在我比你现在年幼时
EP06：政略結婚がどうしても受け入れられず　|　因为实在无法接受政治婚姻
EP06：ミボー星から逃げ出しました　|　曾从米博星逃走过
EP06：アダラ　なぜなんだ　|　阿达拉 你这是为何
EP06：私と結婚すれば　ミボー星は安泰　|　只要和我结婚 米博星就能从此安泰
EP06：一生　好きなことをして　何不自由なく暮らしていけるんだぞ　|　你能一生做自己喜欢的事 无拘无束地生活
EP06：イヤなものはイヤなの　|　不愿意就是不愿意
EP06：アダラ　|　阿达拉
EP06：しつこい　|　烦死了
EP06：私は　下高井戸太助さんと出会いました　|　我和下高井户太助先生相遇了
EP06：太助さんは　ケガをした私を看病してくれて　|　太助先生不仅照顾了受伤的我
EP06：私に食事を作ってくれました　|　还帮我做了饭
EP06：お粥　すいとん　蒸したお芋　|　不论是粥 面疙瘩汤 蒸芋头
EP06：どれもとてもおいしかったです　|　每一样都十分美味
EP06：そして私たちは　恋に落ちました　|　就这样 我们相恋了
EP06：このまま地球で暮らしていけたら　と思ったこともありましたが　|　有时我会想 能这样一直在地球上生活该多好
EP06：既にミボー星の女王になることに決まっていましたから　そうはいきません　|　但对于终将即位皇位的我 这不过是奢望
EP06：私の居場所を突き止めたミボー星の軍隊が　私を迎えにやって来ました　|　找到我藏身所的米博星军队 很快就来接我了
